업체코드,ID(작성자),리뷰 내용,작성일,평가 카테고리
S001,traveler_a,전주 오면 초코파이는 필수죠! 겨울에 먹으니 달달하고 너무 맛있어요 매장도 아늑해요.,2025-01-15,맛있어요
S001,foodie_b,초코파이는 맛있는데 여름 휴가철이라 그런지 주차가 조금 힘들어서 아쉬웠습니다.,2025-07-12,아늑해요
S001,jeonju_native,가을 한옥마을 산책하고 선물용으로 대량 구매했어요. 직원분들도 친절하고 포장도 깔끔합니다.,2025-10-05,친절해요
S001,choco_love,봄 한정 메뉴가 나왔대서 가봤는데 너무 달지도 않고 편리함 느꼈어요. 매장 깔끔합니다.,2025-04-20,편리해요
S002,night_owl,안주가 정말 푸짐하고 맛있어요! 겨울 밤에 막걸리 한잔하기 딱 좋은 아늑해요 분위기.,2025-12-02,맛있어요
S002,beer_love,안주는 대만족인데 여름이라 그런지 주말 웨이팅이 너무 길어요. 유동적 영업시간 확인 필수.,2025-08-18,친절해요
S002,gourmet_kr,가을 전어철에 맞춰 나온 신메뉴 최고네요. 술이 술술 들어가는 맛집입니다.✔️,2025-09-25,맛있어요
S003,date_course,파스타 소스가 깊고 맛있어요. 봄날에 창가 자 리 예약하고 가니 데이트     하기 딱입니다.💚💚,2025-05-10,맛있어요
S003,gourmet_j,스테이크 굽기도 적당하고 매장이 깔끔해서 편리함 느꼈습니다. 가을 분위기랑 잘 어울려요.😀,2025-11-02,편리해요
S003,univ_student,여름 방학이라 사람 없을 줄 알았는데 점심　　시간엔 꽉 차네요. 파스타 여전히 맛있음　　　.✔️✔️,2025-06-15,맛있어요
S004,family_tour,신시가지에서 부모님 모시고 가기 제일 좋은 곳이에요. 떡갈비 너무 부드럽고 친절해요.✔️✔️,2025-05-03,친절해요
S004,hansik_mania,비빔밥 정갈하게 잘 나옵니다. 반찬 가짓수도 많고 주차장이 넓어서 주차 진ㅤㅤㅤㅤ짜 편함.✔️✔️난 할 수 있다 가 나 다 라마 바,2025-03-22,편리해요
